,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
656000,Audio,41. Cable y Conectores,/656000_LBB-4416-xx_17.png,Bosch,LBB-4416/xx,Cable FO para pupitre de interprete en varias distancias de 1mt a 50mts,En los casos que este usando el pupitre para intepretacion simultanea digital va a necesitar este cable para unir este aparato con el controldor central CCU,,LBB-4416/xx,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657000,Audio,41. Cable y Conectores,/657000_LoZ1 - ST2.png,Horizon,LoZ1 / ST2,Cables balanceados de señal de audio,Cuando requeira interconectar equipos de audio en señales balanceadas o incluso desbalanceadas,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
658000,Audio,41. Cable y Conectores,/658000_Varios.png,Horizon /  Sky,Varios,Cables encauchetados y duplex para altavoces,Cuando requeira conectar altavoces con amplificadores sin mayores perdidas (tener cuidado con las distancias),,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
659000,Audio,41. Cable y Conectores,/659000_Varios.png,Liberty,Varios,Cables especiales para altavoces,"En casos que requeiran cables especiales para altavoces como blindados, anti fuego o incluso para enterramiento directo en la tierra",1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
660000,Audio,41. Cable y Conectores,/660000_Varios.png,Neutrik,Varios,"Conectores XLR, 1/4, 3,5 y Speakon para audio",Si desea asegurarse que las conexiones sean estables debe usar conectores de alto nivel,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
664000,Video,41. Cable y Conectores,/664000_D50125MOM3P.png,SC-Clearline,D50125MOM3P,Rollo de Cable Fibra Optica multimode duplex,Cuando requeira transmitir audio y video en distancias muy extensas sin perdidas en interiores (no usar en exteriores),,Conectores SSF-SC-MMFPC,,,,,1,1,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
664100,Video,41. Cable y Conectores,/Fotos2024_4/D29125SMOSR RTP.png,SC-Clearline,D29125SMOSR,Rollo de Cable Fibra Optica singlemode duplex,"Cuando requeira transmitir audio, video y/o datos en distancias MUY extensas sin perdidas en un formato ultradelgado pero fuerte y facil de ensamblar",,Conectores SSF-LC-SMUPC,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
664200,Video,41. Cable y Conectores,/Fotos2024_4/6D9125SMOS2P-B RTP.png,SC-Clearline,6D9125SMOS2P-B,Rollo de Cable Fibra Optica singlemode Microdistribucion 6 fibras,"Cuando requeira transmitir enormes cantidades de audio, video y/o datos en distancias MUY extensas sin perdidas en un formato ultyradelgado pero fuerte y facil de ensamblar",,Conectores SSF-LC-SMUPC,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
664300,Video,41. Cable y Conectores,/Fotos2024_4/4TB50125OM3PU-B RTP.png,SC-Clearline,4TB50125OM3PU-B,Rollo de Cable Fibra Optica monomode Tactical Breakout,"Cuando requeira transmitir  enormes cantidades de audio, video en distancias extensas sin perdidas en un formato de alta resiseencia y facil transporte continuo facil de ensamblar",,Conectores SSF-LC-MMFPC,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
664400,Video,41. Cable y Conectores,/Fotos2024_4/SSF-SFP-MM10G RTP.png,SC-Clearline,SSF-SFP-MM10G,Transeptor SFP conector LC multimode 10GB,"Cuando requeira el acoplador a switches y poder transmitir  enormes cantidades de audio, video en distancias extensas sin perdidas",,Switch SFP,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
664500,Video,41. Cable y Conectores,/Fotos2024_4/SSF-SFP-SM1G RTP.png,SC-Clearline,SSF-SFP-SM1G,Transeptor SFP conector LC singlemode 1GB 20Km,"Cuando requeira el acoplador a switches para transmitir enormes cantidades de audio, video y/o datos en distancias MUY extensas sin perdidas",,Switch SFP,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
664600,Video,41. Cable y Conectores,/Fotos2024_4/SSF-LC-MMFPC-10 RTP.png,SC-Clearline,SSF-LC-MMFPC-10,Paquete de 10 conectores LC multimode,En el momento en que requiera ensamblar su propio cable multimodo,,SSF-FKIT02E,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
664700,Video,41. Cable y Conectores,/664000_D50125MOM3P.png,SC-Clearline,SSF-LC-SMUPC-10,Paquete de 10 conectores LC singlemode,En el momento en que requiera ensamblar su propio cable singlemodo,,SSF-FKIT02E,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
665000,Video,41. Cable y Conectores,/665000_SSF-SC-MMFPC-10.png,SC-Clearline,SSF-SC-MMFPC-10,Paquete de 10 conectores multimode,Cuando necesite terminar los cables Clearline para conexión a un switch,,Cable D5012MOM3P,,,,,1,1,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
666000,Video,41. Cable y Conectores,/666000_NMC1012R.png,SC-Cleerline,SSF-SFP-RJ45-1G,Conversores UTP-Fibra Optica,Si desea tomar un cable de FO en terminal SC y convertirlos a UTP para conexión a una red,,,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,1,,1,1,1,,,,,1,,,,,,1,,1,1,,,1,,,,1,,,1,1,,1,1,
667000,Video,41. Cable y Conectores,/SSF-1x4POE-Rugged RTP.png,SC-Cleerline,SSF-1x4POE-RUGGED,Suiche Gigabit 4 puertos Intemperie,Cuando requiera distribuir audio digital en sitios de condiciones criticas sin perdida en hasta 4 puertos use este equipo gigabit PoE gerenciamiento layer 2 y slot para SFP,,,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,1,,1,1,1,,,,,1,,,,,,1,,1,1,,,1,,,,1,,,1,1,,1,1,
667500,Video,41. Cable y Conectores,/Fotos2024_4/SSF-8SFPx2RJ45-1G RTP.png,SC-Clearline,SSF-8SFPx2RJ45-1G,Switch de 8 SFP y 2 RJ45 Gigabit NO Administrable,Si requiere hacer una pequeña red IP basada en conexiones de alta velocidad nativa en fibra optica,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,1,,,1,1,1,,1,,1,,1,,,1,,,,,,,,,,,,1,1,1,1,1,1,,,,1,,
668000,Video,41. Cable y Conectores,/Fotos2024_4/NG-GSM4212P-100EUS RTP.png,Netgear,NG-GSM4212P-100EUS,"Switch 8x1G PoE + 125W 2x1G y 2xSFP, Administrable",Si requeire hacer una red IP especializada en Audio y/o Video IP con un switch de facil configuracion en Dante,,,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
668100,Video,41. Cable y Conectores,/Fotos2024_4/M4300-48X  RTP.png,Netgear,M4300-48X,"Switch 48x 10G + 4 SFP, Administrable",Si requeire hacer una red IP especializada en Video IP de baja latencia con un switch de facil configuracion y facilmente expandible,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,,
668200,Video,41. Cable y Conectores,/Fotos2024_4/M4300-96X RTP.png,Netgear,M4300-96X,Switch modular de 12-Slot Modular con 8 puertos 10G y 2 puertos 40G,Si requeire hacer una red IP especializada en Video IP de baja latencia con un switch de facil configuracion y facilmente expandible,,APM408P-10000S,APS1200W-100NES,,,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,,
668300,Video,41. Cable y Conectores,/Fotos2024_4/APM408P-10000S RTP.png,Netgear,APM408P-10000S,Modulo 8x100M/1G/2.5G/5G/10GBASE-T PoE+,Si requeire hacer una red IP especializada en Video IP de baja latencia con un switch de facil configuracion y facilmente expandible,,M4300-96X,,,,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,,
669000,Audio,42. Cajas y Racks,/669000_ Varias.png,Liberty,Varias,Cajas y tapas de montaje especial Audio en pared y piso,"Si requeire crear un panel de conexiones de audio ya sea para rack, para pared o para piso creado a la medida y con marcaciones especiales para mas facil identificacion por parte del usuario",1,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,,,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,,,1,,,1,1,,1,1,1,,1,,
669500,Audio,42. Cajas y Racks,/WB-3102 RTP.png,Audac,WB-3102,Caja para atenuadores de volumen,"Si esta usando atenuadores de volumen Audac va arequerir esta caja par apoderlos instlar, hay versiones de superficie como estas o de empotrar",,VC-3xxx,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,1,,,,,,,,1,,,,,,,,,,1,,1,1,,1,,,,,1,,,
670000,Audio,42. Cajas y Racks,/670000_Varias.png,Panconnect,Varias,Cajas y tapas de montaje especial Audio en Mesas,Si requiere crear un panel de conexiones de audio para mesa creado a la medida para mas facil uso de los usuarios,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
671000,Video,42. Cajas y Racks,/671000_Varias.png,Liberty,Varias,Cajas y tapas de montaje especial Video en pared y piso,"Si requeire crear un panel de conexiones de video ya sea para rack, para pared o para piso creado a la medida y con marcaciones especiales para mas facil identificacion por parte del usuario",,,,,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,1,,,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,,,1,,,1,1,,1,1,1,,1,,
672000,Video,42. Cajas y Racks,/672000_Varias.png,Panconnect,Varias,Cajas y tapas de montaje especial Video en Mesas,Si requiere crear un panel de conexiones de video para mesa creado a la medida para mas facil uso de los usuarios,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
673000,Control,42. Cajas y Racks,/673000_Varias.png,Panconnect,Varias,Cajas y tapas de montaje especial Control en Mesas,Si requiere crear un panel de conexiones de Control para mesa creado a la medida para mas facil uso de los usuarios,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
674000,Audio,42. Cajas y Racks,/674000_Varias.png,Ceibon,Varias,Rack de piso tradicional,Si busca instalar los equipos en un rack tradicional por economia,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
675000,Audio,42. Cajas y Racks,/675000_NS1 Series.png,Chief,NS1 Series,Rack de piso con profundidad extendida de 12 a 41RU,Si busca instalar los equipos en un rack de piso pero requeire un equipo de alta durabilidad y profundiad extendida,1,Puertas y paneles opcionales,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
676000,Audio,42. Cajas y Racks,/676000_NS1D series.png,Chief,NS1D series,Puertas para rack,Cuando necesite seguridad en el rack,1,Rack NS1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
677000,Audio,42. Cajas y Racks,/677000_NS1S series.png,Chief,NS1S series,Paneles laterales para rack,Cuando busque proteccion lateral,1,Rack NS1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
678000,Audio,42. Cajas y Racks,/678000_NAF Series.png,Chief,NAF Series,Ventiladores para rack,Cuando desee enfriar equipos en el rack,1,Rack NS1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
679000,Audio,42. Cajas y Racks,/679000_ROTR-HD Series.png,Chief,ROTR-HD Series,Rack de piso rotable de 24 a 43 RU,Cuando por practicidad y mayor eficiencia en mantenimiento desee instalar un rack abatible o con condiciones especiales de montaje,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
680000,Audio,42. Cajas y Racks,/680000_ROTR Series.png,Chief,ROTR Series,Rack de pared rotable de 12 a 24 RU,Cuando por practicidad y mayor eficiencia en mantenimiento desee instalar un rack abatible o con condiciones especiales de montaje,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
681000,Audio,42. Cajas y Racks,/681000_ROTRS.png,Chief,ROTRS,Bandejas para racks rotables,Si desea colocar equipos que no tienen soporte de rack en un rack rotable,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
682000,Audio,42. Cajas y Racks,/682000_Varias.png,Varias,Varias,Multitomas de altimentacion,Conecte mas organizadamente todos los equipos en el mismo rack,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
682500,Video,42. Cajas y Racks,/Fotos2024_4/SSF-FKIT02E RTP.png,SC-Clearline,SSF-FKIT02E,Kit de armado cable FO SSF,"Tiene cable de fibra optica y desea ensamblaro rapido y seguro, use este kit completo de armado de conectores LC o SC",,,,,,,,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
682600,Control,42. Cajas y Racks,/fotos2024/Remot Cont RTP.png,iEAST,Remot Cont,Control Remoto,Cuando quiera controlar un equipo de iEast remotamente,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
683000,Video,43. Power Supply,/683000_PL-140.png,ClearOne,PL-140,Power Supply para MLVA9500 o similares,Cuando use equipos ClearOne que requieran fuente de poder externa,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684000,Audio,43. Power Supply,/684000_PL-250.png,ClearOne,PL-250,Power Supply para SL250 / TL430 o similares,Cuando use equipos ClearOne que requieran fuente de poder externa,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,1,,,,1,,1,1,1,,,,1,1,1,,,,,1,,1,1,,,1,,1,1,1,,1,1,1,1,1,,
685000,Audio,43. Power Supply,/685000_PL-960.png,ClearOne,PL-960,Power Supply para hasta 7 SL251 o similares,Cuando use equipos ClearOne que requieran fuente de poder externa,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685500,Audio,43. Power Supply,/Fotos2024_4/SSF-DIN-48V120W-PS RTP.png,SC-Clearline,SSF-DIN-48V120W-PS,Power Supply 48v/120W para intemperie,Cuando use equipos Cleerline y requiera alimentar en condiciones extremas,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,,,,1,,,1,1,,1,1,
685600,Video,43. Power Supply,/Fotos2024_4/APS1200W-100NES RTP.png,Netgear,APS1200W-100NES,Power Supply Unit 1200W Modular for M4300-96X Switch,Si requeire hacer una red IP especializada en Video IP de baja latencia con un switch de facil configuracion y facilmente expandible,,M4300-96X,,,,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,,
686000,Audio,43. Power Supply,/686000_PS-24AS.png,RDL,PS-24AS,Power Supply 500ma,Cuando use equipos RDL que requieran fuente de poder externa,,,,,,,,1,1,1,1,1,,1,1,,,1,1,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,,1,1,1,,1,1,1,1,1,1,
687000,Audio,43. Power Supply,/687000_AD-1215P.png,TOA,AD-1215P,Power Supply,Cuando use equipos TOA Intercom que requieran fuente de poder externa,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,1,,1,,,,,1,1,,1,1,
688000,Audio,43. Power Supply,/688000_PS-24V2A.png,RDL,PS-24V2A,Power Supply 2A,Cuando use equipos RDL que requieran fuente de poder externa,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689000,Audio,43. Power Supply,/689000_AD-246.png,TOA,AD-246,Power Supply,Cuando use equipos TOA que requieran fuente de poder externa,,,,,,,,,,1,,1,,,,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,
690000,Audio,43. Power Supply,/690000_Vx-2000DS.png,TOA,Vx-2000DS,Power Supply 220V AC,Cuando use equipos TOA de la serie Vx2000 que requieran fuente de poder externa,1,Sistema Vx2000,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,1,,1,,1,1,,1,,,,1,
691000,Audio,43. Power Supply,/691000_Vx-3000DS.png,TOA,Vx-3000DS,Power Supply 220V AC,Cuando use equipos TOA de la serie Vx3000 que requieran fuente de poder externa,1,Sistema Vx3000,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,1,,1,,1,1,,1,,,,1,
691100,Audio,43. Power Supply,/US PwrAd.png,iEAST,US PwrAd,Power Supply externo,Cuando use algun player de iEast,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
691150,Audio,43. Power Supply,/Fotos2024_4/PSD-241 RTP.png,Audac,PSD-241,Power Supply para transmision de señales audio,Cuando este usando wall panels WP-2xx con su receptor PSD-241 va requerir alimetnar este equipo,,ARJ-12P,,,,,1,1,1,1,,1,1,1,1,,,1,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,,1,,,,,,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,
692000,Asistencia y Servicio,45. Apoyo y Soporte,/692000_Diseño V2.png,Varias,Varios,"Diseño, estudio y especificacion del sistema","Cuando necesite ayuda en diseñar una solucion audiovisual completa o si lo que requiere es determinar los detalles para un mejor aprovechamiento del presupuesto, asi como simulaciones acusticas y creacion de especificaciones",1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
693000,Asistencia y Servicio,45. Apoyo y Soporte,/693000_Acondicionamiento ac.png,Varias,Varios,Acondicionamiento Acustico,"La acustica es un elemento escencial para lograr el desempeño ideal de los equipos.  Si requiere ayuda en como mejorar la inteligibilidad del sistema haciendo las correxiones acusticas apropiadas de manera que la calidad de audio se maximice, o si lo que necesita es que los ruidos externos no sean escuchados en el sitio, o el sonido generado por el sistema que se esta instalando no salga del sitio y perturbe otras areas, usted va a necesitar una asesoria acustica y aca le pdoemos ayudar.",1,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
694000,Asistencia y Servicio,45. Apoyo y Soporte,/694000_Mantenimiento.png,Varias,Varios,Mantenimiento,Cuando por el desgaste normal de uso y paso del tiempo requieran de un mantenimiento preventivo asegurando el funcionamiento adecuado.  Tambien en algunas ocasiones las circustancias y personas que manejan los equipos cambian y la asesoria de como optimizarlos es muy importante para que el dinero invertido le siga dando satisfaccion por mas tiempo y asi extienda el ciclo de vida de su inversion.,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
695000,Asistencia y Servicio,45. Apoyo y Soporte,/695000_Soportes.png,Varias,Varios,Soportes y Accesorios de Montaje,"Los accesorios de conexión tales como plugs, jacks, adaptadores y los de montaje tales como soportes, bases, racks, tapas, etc., garantizan que el sistema funcione correctamente sin ruidos, interferencias o perdidas e las señales quedando instalados de manera segura, evitado riesgos a las personas y a los equipos en si, ademas de proteccion contra vandalismo, robo o desgaste",1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
696000,Asistencia y Servicio,45. Apoyo y Soporte,/696000_Instalacion Cableado V2.png,Varias,Varios,Instalacion o supervision de tramos de Cableado y Ducteria,"Todo proyecto requiere de metros de varios tipos de cables para la instalacion tales como duplex/encauchetados para altavoces, VGA, HDMI, RG para el video, UTP para el control y sus respectivos ductos y canaletas, de la manera que le garanticen que el sistema funcione correctamente sin ruidos, interferencias o perdidas e las señales",1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
